Date,Open,High,Low,Close,Volume,Adj Close
1962-01-02,3.2083,3.2392,3.1767,3.2083,81600,1.2600
1962-01-03,3.2083,3.2392,3.1767,3.2392,77600,1.2700
1962-01-04,3.3125,3.4167,3.3125,3.3233,177600,1.3000
1962-01-05,3.3233,3.3958,3.3125,3.3542,81600,1.3100
1962-01-08,3.3542,3.4067,3.3333,3.3750,101600,1.3200
1962-01-09,3.3750,3.4375,3.3433,3.4067,144800,1.3300
1962-01-10,3.4067,3.4267,3.3542,3.3642,91200,1.3200
1962-01-11,3.3642,3.4167,3.3333,3.4167,192000,1.3400
1962-01-12,3.4167,3.4792,3.3750,3.4375,176000,1.3500
1962-01-15,3.4375,3.4583,3.3750,3.4267,140000,1.3400
1962-01-16,3.3958,3.3958,3.3542,3.3750,81600,1.3300
1962-01-17,3.3750,3.4167,3.3542,3.3642,80000,1.3200
1962-01-18,3.3642,3.4375,3.3642,3.4375,130400,1.3500
1962-01-19,3.4375,3.5000,3.3750,3.5000,178400,1.3800
1962-01-22,3.5000,3.5417,3.4892,3.4892,130400,1.3700
1962-01-23,3.4892,3.5208,3.4167,3.4167,111200,1.3500
1962-01-24,3.4167,3.4167,3.3333,3.3958,60000,1.3400
1962-01-25,3.3958,3.4483,3.3858,3.4167,75200,1.3500
1962-01-26,3.4167,3.4483,3.3750,3.4167,53600,1.3500
1962-01-29,3.4167,3.4483,3.4067,3.4483,60800,1.3600
1962-01-30,3.4375,3.4375,3.3858,3.3958,60000,1.3400
1962-01-31,3.3958,3.4483,3.3958,3.4167,94400,1.3500
1962-02-01,3.4167,3.5000,3.4167,3.4792,56000,1.3700
1962-02-02,3.4792,3.4892,3.4483,3.4583,99200,1.3600
1962-02-05,3.4583,3.4683,3.4483,3.4483,48000,1.3600
1962-02-06,3.4583,3.4892,3.4583,3.4683,52800,1.3700
1962-02-07,3.4683,3.4892,3.4267,3.4267,60800,1.3500
1962-02-08,3.4267,3.4375,3.4267,3.4267,70400,1.3500
1962-02-09,3.4267,3.4375,3.3858,3.3858,57600,1.3300
1962-02-12,3.3858,3.3958,3.3433,3.3958,48800,1.3400
1962-02-13,3.3958,3.4067,3.3642,3.3858,43200,1.3300
1962-02-14,3.3858,3.3858,3.3333,3.3542,88800,1.3200
1962-02-15,3.3433,3.3433,3.2917,3.3333,29600,1.3100
1962-02-16,3.3333,3.3750,3.2708,3.3542,44000,1.3200
1962-02-19,3.3542,3.3858,3.3233,3.3542,84800,1.3200
1962-02-20,3.3542,3.3642,3.3333,3.3433,33600,1.3200
1962-02-21,3.3433,3.3433,3.2500,3.2708,48800,1.2900
1962-02-23,3.2708,3.3125,3.2500,3.2708,48000,1.2900
1962-02-26,3.3333,3.3958,3.3333,3.3958,79200,1.3400
1962-02-27,3.3958,3.4167,3.3542,3.3642,58400,1.3200
1962-02-28,3.3642,3.4067,3.3333,3.3642,69600,1.3200
1962-03-01,3.3642,3.4067,3.3642,3.3642,36800,1.3200
1962-03-02,3.3642,3.3750,3.3333,3.3750,52800,1.3300
1962-03-05,3.3750,3.3858,3.3333,3.3750,39200,1.3300
1962-03-06,3.3750,3.4067,3.3333,3.3542,48800,1.3200
1962-03-07,3.3542,3.3542,3.2917,3.3125,86400,1.3000
1962-03-08,3.3125,3.3233,3.2708,3.2817,48800,1.2900
1962-03-09,3.2817,3.2917,3.2708,3.2708,43200,1.2900
1962-03-12,3.2708,3.2817,3.2292,3.2292,48000,1.2700
1962-03-13,3.2292,3.2708,3.1767,3.2500,70400,1.2800
1962-03-14,3.2608,3.3233,3.2608,3.3233,58400,1.3100
1962-03-15,3.3233,3.3233,3.2708,3.2917,69600,1.3000
1962-03-16,3.2917,3.3233,3.2917,3.3233,39200,1.3100
1962-03-19,3.3233,3.3642,3.3017,3.3233,52800,1.3100
1962-03-20,3.3333,3.3958,3.3333,3.3958,88800,1.3400
1962-03-21,3.3958,3.4067,3.2917,3.3125,116000,1.3000
1962-03-22,3.3333,3.3858,3.3333,3.3642,134400,1.3200
1962-03-23,3.3642,3.3958,3.3433,3.3642,94400,1.3200
1962-03-26,3.3642,3.3750,3.3125,3.3433,62400,1.3200
1962-03-27,3.3433,3.3542,3.3333,3.3433,56000,1.3200
1962-03-28,3.3433,3.4067,3.3433,3.4067,72800,1.3400
1962-03-29,3.4067,3.4067,3.3542,3.3642,45600,1.3200
1962-03-30,3.3642,3.4067,3.3542,3.4067,43200,1.3400
1962-04-02,3.3958,3.3958,3.3233,3.3433,115200,1.3200
1962-04-03,3.3433,3.3858,3.3233,3.3333,84000,1.3100
1962-04-04,3.3333,3.3642,3.3233,3.3433,57600,1.3200
1962-04-05,3.3433,3.3750,3.3333,3.3750,96000,1.3300
1962-04-06,3.3642,3.3642,3.3233,3.3642,74400,1.3200
1962-04-09,3.3642,3.3642,3.3233,3.3233,62400,1.3100
1962-04-10,3.3233,3.3542,3.3017,3.3542,60000,1.3200
1962-04-11,3.3542,3.3858,3.3125,3.3433,91200,1.3200
1962-04-12,3.3233,3.3233,3.2708,3.3125,79200,1.3000
1962-04-13,3.3017,3.3017,3.2292,3.2292,19200,1.2700
1962-04-16,3.2183,3.2183,3.1042,3.1458,64800,1.2500
1962-04-17,3.1567,3.2392,3.1567,3.1875,86400,1.2600
1962-04-18,3.1875,3.2292,3.1667,3.2083,65600,1.2700
1962-04-19,3.2083,3.2500,3.2083,3.2083,40800,1.2700
1962-04-23,3.1983,3.1983,3.0833,3.0933,68000,1.2300
1962-04-24,3.1042,3.1458,3.1042,3.1458,51200,1.2500
1962-04-25,3.1250,3.1250,3.0625,3.0625,60000,1.2100
1962-04-26,3.0733,3.1567,3.0733,3.1042,81600,1.2300
1962-04-27,3.1042,3.1142,3.0417,3.0833,91200,1.2200
1962-04-30,3.0833,3.0833,2.9375,2.9583,93600,1.1700
1962-05-01,2.9583,2.9892,2.8542,2.9792,113600,1.1800
1962-05-02,2.9792,3.0317,2.9792,3.0000,69600,1.1900
1962-05-03,3.0000,3.1358,2.9892,3.1358,39200,1.2400
1962-05-04,3.1358,3.1667,3.1042,3.1042,38400,1.2300
1962-05-07,3.1042,3.1250,3.0833,3.1042,91200,1.2300
1962-05-08,3.1042,3.1458,3.0933,3.1042,64800,1.2300
1962-05-09,3.1042,3.1250,3.0000,3.0833,48000,1.2200
1962-05-10,3.0733,3.0733,2.9375,2.9483,8000,1.1700
1962-05-11,2.9483,2.9483,2.9067,2.9483,70400,1.1700
1962-05-14,2.9483,3.0625,2.8958,2.8958,72800,1.1500
1962-05-15,3.0000,3.0733,3.0000,3.0517,65600,1.2100
1962-05-16,3.0517,3.0517,3.0108,3.0317,51200,1.2000
1962-05-17,3.0317,3.0417,3.0000,3.0208,89600,1.2000
1962-05-18,3.0417,3.1042,3.0417,3.0733,93600,1.2200
