Date,Open,High,Low,Close,Volume,Adj Close
1962-01-02,13.4167,13.5694,13.4167,13.4167,36000,1.3500
1962-01-03,13.4167,13.4583,13.4028,13.4306,28800,1.3600
1962-01-04,13.4306,13.4933,13.3333,13.3333,52200,1.3500
1962-01-05,13.2500,13.2500,12.8611,12.9722,81000,1.3100
1962-01-08,12.8194,12.8194,12.6111,12.7778,106200,1.2900
1962-01-09,12.7778,12.8889,12.7778,12.8194,93600,1.2900
1962-01-10,12.8194,12.8750,12.6733,12.6733,61200,1.2800
1962-01-11,12.6733,12.9028,12.6667,12.8889,57600,1.3000
1962-01-12,12.8889,12.9167,12.8333,12.8889,54000,1.3000
1962-01-15,12.8889,12.9028,12.8472,12.8611,54000,1.3000
1962-01-16,12.8611,12.8750,12.7361,12.8611,48600,1.3000
1962-01-17,12.8611,12.8611,12.7778,12.7917,54000,1.2900
1962-01-18,12.7778,12.7778,12.6806,12.7361,70200,1.2900
1962-01-19,12.7361,12.7778,12.6667,12.7500,81000,1.2900
1962-01-22,12.7500,12.7778,12.7433,12.7778,61200,1.2900
1962-01-23,12.7778,12.8267,12.6944,12.7639,82800,1.2900
1962-01-24,12.7639,12.8333,12.6806,12.7778,99000,1.2900
1962-01-25,12.7778,12.8122,12.6667,12.6667,75600,1.2800
1962-01-26,12.6389,12.6389,12.5000,12.5139,48600,1.2600
1962-01-29,12.5694,12.6389,12.5694,12.6111,50400,1.2700
1962-01-30,12.6111,12.6806,12.5556,12.5833,118800,1.2700
1962-01-31,12.6389,12.7500,12.6389,12.7361,95400,1.2900
1962-02-01,12.7500,13.0139,12.7500,12.8333,86400,1.3000
1962-02-02,12.8472,13.0833,12.8472,13.0556,88200,1.3200
1962-02-05,13.0556,13.1667,13.0556,13.0833,138600,1.3200
1962-02-06,13.0833,13.4167,13.0556,13.3611,86400,1.3500
1962-02-07,13.3611,13.4722,13.3472,13.4583,104400,1.3600
1962-02-08,13.4583,13.5139,13.4028,13.4583,59400,1.3600
1962-02-09,13.4583,13.4861,13.3889,13.4861,81000,1.3600
1962-02-12,13.4861,13.5556,13.4794,13.5417,23400,1.3700
1962-02-13,13.5483,13.6111,13.5483,13.6111,75600,1.3700
1962-02-14,13.6111,13.7083,13.5972,13.6944,66600,1.3800
1962-02-15,13.6944,13.8889,13.6389,13.8056,140400,1.3900
1962-02-16,13.8056,13.8611,13.7500,13.7917,91800,1.3900
1962-02-19,13.7917,13.8472,13.7222,13.7222,63000,1.3800
1962-02-20,13.7222,13.7500,13.6389,13.7433,57600,1.3900
1962-02-21,13.7433,13.7778,13.6944,13.6944,30600,1.3900
1962-02-23,13.6250,13.6250,13.4722,13.6250,59400,1.3800
