Date,Open,High,Low,Close,Volume,Adj Close
1972-06-01,2.1706,2.1735,2.1492,2.1534,1089200,0.3900
1972-06-02,2.1534,2.1735,2.1411,2.1492,1173500,0.3900
1972-06-05,2.1492,2.1696,2.1411,2.1492,5208100,0.3900
1972-06-06,2.1492,2.1573,2.1167,2.1248,1421400,0.3800
1972-06-07,2.1248,2.1372,2.1128,2.1128,671800,0.3800
1972-06-08,2.1128,2.1291,2.0966,2.0966,1036600,0.3800
1972-06-09,2.0966,2.1005,2.0437,2.0843,6589200,0.3800
1972-06-12,2.0843,2.1086,2.0681,2.0843,1430100,0.3800
1972-06-13,2.0843,2.1047,2.0843,2.1005,931400,0.3800
1972-06-14,2.1086,2.1534,2.1086,2.1329,2939300,0.3800
1972-06-15,2.1329,2.1534,2.1209,2.1248,1460700,0.3800
1972-06-16,2.1248,2.1329,2.1005,2.1329,750400,0.3800
1972-06-19,2.1329,2.1453,2.1128,2.1209,529300,0.3800
1972-06-20,2.1209,2.1411,2.1209,2.1291,894100,0.3800
1972-06-21,2.1291,2.1329,2.1086,2.1086,1608800,0.3800
1972-06-22,2.1047,2.1047,2.0762,2.0966,1282200,0.3800
1972-06-23,2.0924,2.0924,2.0723,2.0924,1273300,0.3800
1972-06-26,2.0924,2.0924,2.0762,2.0843,621300,0.3800
1972-06-27,2.0843,2.1005,2.0843,2.1005,877700,0.3800
1972-06-28,2.1005,2.1128,2.0924,2.0966,904100,0.3800
1972-06-29,2.0966,2.1047,2.0885,2.0885,448000,0.3800
1972-06-30,2.0762,2.0762,2.0518,2.0723,825100,0.3700
1972-07-03,2.0723,2.0723,2.0518,2.0642,438200,0.3700
1972-07-05,2.0642,2.0681,2.0317,2.0518,1395000,0.3700
1972-07-06,2.0600,2.0966,2.0600,2.0762,1173500,0.3700
1972-07-07,2.0762,2.0885,2.0518,2.0681,1351100,0.3700
1972-07-10,2.0681,2.0723,2.0437,2.0437,523700,0.3700
1972-07-11,2.0437,2.0600,2.0317,2.0317,546600,0.3700
1972-07-12,2.0317,2.0600,2.0155,2.0155,1801800,0.3600
1972-07-13,2.0155,2.0194,1.9912,2.0155,680300,0.3600
1972-07-14,2.0155,2.0275,2.0074,2.0113,941200,0.3600
1972-07-17,2.0113,2.0275,2.0032,2.0113,583000,0.3600
1972-07-18,2.0113,2.0356,1.9789,2.0317,1338000,0.3700
1972-07-19,2.0317,2.0762,2.0275,2.0437,1707400,0.3700
1972-07-20,2.0437,2.0518,2.0155,2.0155,492900,0.3600
1972-07-21,2.0155,2.0518,2.0155,2.0437,602500,0.3700
1972-07-24,2.0600,2.1128,2.0600,2.1005,1456400,0.3800
1972-07-25,2.1005,2.1047,2.0843,2.0924,1552900,0.3800
1972-07-26,2.0924,2.0924,2.0804,2.0843,430500,0.3800
1972-07-27,2.0843,2.0885,2.0762,2.0762,1109000,0.3800
1972-07-28,2.0843,2.1128,2.0843,2.0966,1814900,0.3800
1972-07-31,2.0966,2.1128,2.0885,2.0966,1259200,0.3800
1972-08-01,2.0966,2.1005,2.0762,2.0966,1424700,0.3800
1972-08-02,2.0966,2.1248,2.0966,2.1248,2140400,0.3900
1972-08-03,2.1372,2.1816,2.1372,2.1615,4331200,0.3900
1972-08-04,2.1615,2.1696,2.1615,2.1696,1188000,0.4000
1972-08-07,2.1696,2.1816,2.1696,2.1735,1929800,0.4000
1972-08-08,2.1735,2.1735,2.1573,2.1654,948000,0.3900
1972-08-09,2.1654,2.1696,2.1209,2.1329,2822000,0.3900
1972-08-10,2.1329,2.1372,2.1209,2.1372,1203200,0.3900
1972-08-11,2.1411,2.1573,2.1411,2.1534,1283300,0.3900
1972-08-14,2.1615,2.1777,2.1615,2.1654,1888200,0.3900
1972-08-15,2.1654,2.1696,2.1329,2.1492,1125400,0.3900
1972-08-16,2.1411,2.1411,2.0924,2.0924,1138700,0.3800
