Date,Open,High,Low,Close,Volume,Adj Close
1962-01-02,0.7812,0.7943,0.7734,0.7786,2073600,0.1500
1962-01-03,0.7748,0.7748,0.7682,0.7708,1420800,0.1500
1962-01-04,0.7708,0.7773,0.7552,0.7618,1766400,0.1500
1962-01-05,0.7618,0.7630,0.7292,0.7422,2620800,0.1500
1962-01-08,0.7422,0.7422,0.7188,0.7409,2976000,0.1500
1962-01-09,0.7409,0.7513,0.7357,0.7448,2236800,0.1500
1962-01-10,0.7448,0.7526,0.7422,0.7487,1881600,0.1500
1962-01-11,0.7487,0.7500,0.7357,0.7500,1564800,0.1500
1962-01-12,0.7500,0.7513,0.7370,0.7396,1622400,0.1500
1962-01-15,0.7409,0.7500,0.7409,0.7474,2035200,0.1500
1962-01-16,0.7474,0.7565,0.7422,0.7540,1334400,0.1500
1962-01-17,0.7526,0.7526,0.7318,0.7370,2054400,0.1500
1962-01-18,0.7370,0.7448,0.7357,0.7448,1420800,0.1500
1962-01-19,0.7448,0.7513,0.7448,0.7513,1276800,0.1500
1962-01-22,0.7526,0.7630,0.7526,0.7540,1363200,0.1500
1962-01-23,0.7513,0.7513,0.7370,0.7396,2188800,0.1500
1962-01-24,0.7396,0.7565,0.7370,0.7540,1536000,0.1500
1962-01-25,0.7540,0.7591,0.7409,0.7460,1526400,0.1500
1962-01-26,0.7460,0.7474,0.7409,0.7435,969600,0.1500
1962-01-29,0.7435,0.7474,0.7422,0.7448,979200,0.1500
1962-01-30,0.7540,0.7656,0.7540,0.7578,1708800,0.1500
1962-01-31,0.7578,0.7812,0.7565,0.7812,1804800,0.1600
1962-02-01,0.7812,0.7852,0.7682,0.7760,2467200,0.1500
1962-02-02,0.7760,0.7800,0.7708,0.7800,1420800,0.1600
1962-02-05,0.7786,0.7786,0.7656,0.7656,1353600,0.1500
1962-02-06,0.7682,0.7760,0.7682,0.7734,998400,0.1500
1962-02-07,0.7734,0.7812,0.7708,0.7812,1622400,0.1600
1962-02-08,0.7812,0.7865,0.7800,0.7865,1689600,0.1600
1962-02-09,0.7865,0.7865,0.7722,0.7825,1449600,0.1600
1962-02-12,0.7825,0.7852,0.7786,0.7825,787200,0.1600
1962-02-13,0.7839,0.7917,0.7839,0.7917,1161600,0.1600
1962-02-14,0.7917,0.8007,0.7903,0.7982,1555200,0.1600
1962-02-15,0.7995,0.8125,0.7995,0.8099,1795200,0.1600
1962-02-16,0.8099,0.8112,0.7982,0.8047,2246400,0.1600
1962-02-19,0.8047,0.8085,0.7943,0.7982,1497600,0.1600
1962-02-20,0.7982,0.7982,0.7865,0.7969,1027200,0.1600
1962-02-21,0.7969,0.8007,0.7891,0.7943,1036800,0.1600
1962-02-23,0.7943,0.7955,0.7852,0.7865,1564800,0.1600
1962-02-26,0.7865,0.7891,0.7695,0.7760,1209600,0.1500
