Date,Open,High,Low,Close,Volume,Adj Close
1962-01-02,7.7133,7.7133,7.6267,7.6267,387200,2.4700
1962-01-03,7.6267,7.6933,7.6267,7.6933,288000,2.4900
1962-01-04,7.6933,7.6933,7.6133,7.6167,256000,2.4700
1962-01-05,7.6067,7.6067,7.4533,7.4667,363200,2.4200
1962-01-08,7.4600,7.4600,7.2667,7.3267,544000,2.3700
1962-01-09,7.3600,7.5067,7.3600,7.4133,491200,2.4000
1962-01-10,7.4267,7.4600,7.4267,7.4267,299200,2.4000
1962-01-11,7.4467,7.5067,7.4467,7.5067,315200,2.4300
1962-01-12,7.5200,7.5733,7.5200,7.5200,435200,2.4300
1962-01-15,7.5467,7.5700,7.5467,7.5533,251200,2.4400
1962-01-16,7.5467,7.5467,7.4733,7.4733,251200,2.4200
1962-01-17,7.4400,7.4400,7.3333,7.3533,419200,2.3800
1962-01-18,7.3733,7.4467,7.3733,7.3733,371200,2.3900
1962-01-19,7.3733,7.3933,7.2933,7.3800,400000,2.3900
1962-01-22,7.3800,7.4533,7.3600,7.3667,275200,2.3800
1962-01-23,7.3633,7.3733,7.2800,7.2933,371200,2.3600
1962-01-24,7.2933,7.3333,7.2567,7.3333,408000,2.3700
1962-01-25,7.3333,7.3933,7.2400,7.2533,315200,2.3500
1962-01-26,7.2533,7.2800,7.2133,7.2167,243200,2.3400
1962-01-29,7.2167,7.2667,7.0933,7.0933,579200,2.3000
1962-01-30,7.0933,7.1333,7.0033,7.0033,736000,2.2700
1962-01-31,7.0733,7.2267,7.0733,7.2267,760000,2.3400
1962-02-01,7.3000,7.4133,7.3000,7.3933,640000,2.3900
1962-02-02,7.3933,7.4400,7.3600,7.4400,507200,2.4100
1962-02-05,7.4400,7.4400,7.3067,7.3467,312000,2.3800
1962-02-06,7.3467,7.3600,7.3200,7.3533,256000,2.3800
1962-02-07,7.3600,7.4000,7.3600,7.3600,251200,2.3800
1962-02-08,7.3600,7.4000,7.3600,7.3667,16000,2.3800
1962-02-09,7.3667,7.4200,7.3333,7.4200,432000,2.4000
1962-02-12,7.4200,7.4800,7.4133,7.4267,280000,2.4000
1962-02-13,7.4267,7.4333,7.3067,7.3067,256000,2.3700
1962-02-14,7.3067,7.3333,7.2800,7.2933,208000,2.3600
1962-02-15,7.2933,7.2933,7.2600,7.2667,227200,2.3500
1962-02-16,7.2667,7.2933,7.2600,7.2600,219200,2.3500
1962-02-19,7.2600,7.2933,7.1733,7.1867,280000,2.3300
1962-02-20,7.1900,7.2267,7.1900,7.1900,288000,2.3300
1962-02-21,7.1900,7.2400,7.1367,7.1367,363200,2.3100
1962-02-23,7.1467,7.1733,7.1467,7.1600,288000,2.3200
1962-02-26,7.1600,7.1667,7.1200,7.1333,299200,2.3100
1962-02-27,7.1333,7.1933,7.0933,7.1467,347200,2.3100
1962-02-28,7.1467,7.1600,7.1067,7.1600,267200,2.3200
1962-03-01,7.1867,7.2467,7.1867,7.2467,280000,2.3500
1962-03-02,7.3067,7.3467,7.3067,7.3067,243200,2.3700
