Date,Open,High,Low,Close,Volume,Adj Close
1970-01-02,1.2500,1.2535,1.2188,1.2188,1195200,0.5000
1970-01-05,1.2188,1.2222,1.1875,1.1892,964800,0.4800
1970-01-06,1.1892,1.2118,1.1840,1.2118,1036800,0.4900
1970-01-07,1.2118,1.2153,1.2031,1.2066,331200,0.4900
1970-01-08,1.2066,1.2257,1.2066,1.2153,460800,0.4900
1970-01-09,1.2222,1.2396,1.2222,1.2222,748800,0.5000
1970-01-12,1.2222,1.2222,1.2014,1.2014,864000,0.4900
1970-01-13,1.2049,1.2222,1.2049,1.2118,849600,0.4900
1970-01-14,1.2118,1.2326,1.2118,1.2292,619200,0.5000
1970-01-15,1.2292,1.2326,1.2274,1.2309,1209600,0.5000
1970-01-16,1.2309,1.2309,1.2257,1.2292,734400,0.5000
1970-01-19,1.2274,1.2274,1.2118,1.2135,1180800,0.4900
1970-01-20,1.2135,1.2135,1.1927,1.2135,763200,0.4900
1970-01-21,1.2135,1.2188,1.2101,1.2188,878400,0.5000
1970-01-22,1.2188,1.2222,1.2118,1.2222,360000,0.5000
1970-01-23,1.2222,1.2257,1.2135,1.2153,979200,0.4900
1970-01-26,1.2153,1.2153,1.2083,1.2153,979200,0.4900
1970-01-27,1.2101,1.2101,1.2014,1.2014,532800,0.4900
1970-01-28,1.1910,1.1910,1.1354,1.1354,1497600,0.4600
1970-01-29,1.1319,1.1319,1.0729,1.1111,3585600,0.4500
1970-01-30,1.0972,1.0972,1.0764,1.0972,2808000,0.4500
1970-02-02,1.1094,1.1528,1.1094,1.1528,1612800,0.4700
1970-02-03,1.1528,1.2014,1.1458,1.1458,2692800,0.4700
1970-02-04,1.1337,1.1337,1.0816,1.0955,2793600,0.4500
1970-02-05,1.0955,1.1458,1.0920,1.1458,1886400,0.4700
1970-02-06,1.1389,1.1389,1.1250,1.1319,705600,0.4600
1970-02-09,1.1597,1.1910,1.1597,1.1823,1684800,0.4800
1970-02-10,1.2014,1.2153,1.2014,1.2049,2505600,0.4900
1970-02-11,1.2014,1.2014,1.1892,1.1944,2232000,0.4900
1970-02-12,1.1944,1.1944,1.1433,1.1510,3369600,0.4700
1970-02-13,1.1467,1.1467,1.1111,1.1250,1540800,0.4600
1970-02-16,1.1250,1.1302,1.1224,1.1224,820800,0.4600
1970-02-17,1.1224,1.1233,1.0903,1.1007,1915200,0.4500
1970-02-18,1.1042,1.1128,1.1042,1.1094,878400,0.4500
1970-02-19,1.1094,1.1094,1.0990,1.1015,576000,0.4500
