Date,Open,High,Low,Close,Volume,Adj Close
1983-12-30,9.7778,9.8889,9.6667,9.7778,211500,2.7700
1984-01-03,9.7644,9.8333,9.6933,9.7778,385500,2.7700
1984-01-04,9.9644,10.1933,9.8333,10.1933,292500,2.8900
1984-01-05,10.4022,10.5289,10.2778,10.5289,344100,2.9800
1984-01-06,10.4178,10.5289,10.3067,10.4178,194400,2.9500
1984-01-09,10.4444,10.5289,10.3600,10.4444,216300,2.9600
1984-01-10,10.5978,10.7222,10.4711,10.6400,143100,3.0100
1984-01-11,10.6400,10.8889,10.5289,10.8600,397800,3.0800
1984-01-12,10.8600,11.0289,10.8067,10.9711,297900,3.1100
1984-01-13,11.0822,11.1667,11.0000,11.0289,591300,3.1200
1984-01-16,10.9711,11.0289,10.9178,10.9178,103800,3.0900
1984-01-17,10.9178,10.9178,10.6667,10.7222,134100,3.0400
1984-01-18,10.8756,11.0000,10.7511,10.9711,1352700,3.1100
1984-01-19,10.9711,11.0289,10.9178,10.9711,245100,3.1100
1984-01-20,10.9711,10.9711,10.8333,10.8889,168300,3.0800
1984-01-23,10.9867,11.0556,10.9178,11.0289,246000,3.1200
1984-01-24,11.0978,11.1667,11.0289,11.1667,292500,3.1600
1984-01-25,11.3200,11.3889,11.2489,11.2778,243000,3.1900
1984-01-26,11.2778,11.3067,11.1400,11.1667,212400,3.1600
1984-01-27,11.1667,11.1667,11.0289,11.1111,183000,3.1500
1984-01-30,11.0556,11.0822,11.0289,11.0556,99900,3.1300
1984-01-31,11.0556,11.3889,11.0556,11.2222,352200,3.1800
1984-02-01,11.2222,11.3333,11.0289,11.0556,225300,3.1300
1984-02-02,11.0556,11.0822,10.9711,10.9711,230700,3.1100
1984-02-03,11.1111,11.2222,11.0000,11.0556,319800,3.1300
1984-02-06,10.8756,11.0289,10.7222,10.8067,67500,3.0600
1984-02-07,10.6667,10.7511,10.5822,10.6667,212400,3.0200
1984-02-08,10.6667,10.8600,10.5822,10.7222,395100,3.0400
1984-02-09,10.7222,10.7778,10.6111,10.6667,196500,3.0200
1984-02-10,10.6667,10.8067,10.6667,10.8067,232500,3.0600
1984-02-13,10.8067,10.8889,10.7778,10.7778,324000,3.0500
1984-02-14,10.7778,11.0000,10.7511,11.0000,135000,3.1200
1984-02-15,11.0000,11.2222,10.9444,11.1667,543600,3.1600
1984-02-16,11.1667,11.4178,11.1111,11.3333,362100,3.2100
1984-02-17,11.3333,11.3600,11.1400,11.1400,654300,3.1600
1984-02-21,11.1400,11.1933,11.0289,11.0289,108000,3.1200
1984-02-22,11.0289,11.0822,10.7222,10.7222,197400,3.0400
1984-02-23,10.7222,10.7511,10.4711,10.6111,466200,3.0100
1984-02-24,10.6111,10.7222,10.5556,10.6667,66600,3.0200
1984-02-27,10.6667,10.8067,10.4711,10.8067,613200,3.0600
1984-02-28,10.7089,10.7778,10.5822,10.6667,294300,3.0200
1984-02-29,10.6667,10.8600,10.6400,10.7222,210000,3.0400
1984-03-01,10.6111,10.6667,10.5556,10.6111,273600,3.0100
1984-03-02,10.6111,11.0000,10.6111,10.8889,205500,3.0800
1984-03-05,10.8889,10.9444,10.6667,10.7222,532800,3.0400
1984-03-06,10.7222,10.7778,10.6111,10.6111,218100,3.0100
1984-03-07,10.6111,10.6111,10.4444,10.4444,150600,2.9600
1984-03-08,10.4444,10.6111,10.4444,10.6111,120900,3.0100
1984-03-09,10.3889,10.4444,10.3333,10.3333,381900,2.9800
1984-03-12,10.3333,10.4178,10.0556,10.0556,427500,2.9000
1984-03-13,10.1800,10.2778,10.0822,10.2489,280200,2.9600
1984-03-14,10.1244,10.2222,10.0289,10.1111,327900,2.9200
1984-03-15,10.1111,10.2489,10.0556,10.2222,358500,2.9500
1984-03-16,10.5556,10.6667,10.4444,10.5289,230700,3.0400
1984-03-19,10.3756,10.5000,10.2489,10.3600,196200,2.9900
1984-03-20,10.4444,10.5556,10.3333,10.5556,227700,3.0500
1984-03-21,10.5556,10.6667,10.5556,10.6667,90300,3.0800
1984-03-22,10.6667,10.7511,10.5556,10.5556,125400,3.0500
1984-03-23,10.5556,10.6400,10.4711,10.4711,51300,3.0200
1984-03-26,10.4711,10.5289,10.4178,10.4711,75600,3.0200
1984-03-27,10.4711,10.5000,10.3600,10.4444,527700,3.0100
1984-03-28,10.4444,10.5000,10.4178,10.4444,97500,3.0100
1984-03-29,10.4444,10.5000,10.3333,10.3333,125100,2.9800
1984-03-30,10.3333,10.3333,10.0822,10.0822,207900,2.9100
1984-04-02,10.1667,10.2489,10.0822,10.0822,253200,2.9100
1984-04-03,10.0822,10.1933,9.8889,9.8889,105600,2.8500
1984-04-04,9.8889,9.9711,9.8333,9.8333,281700,2.8400
1984-04-05,9.8333,9.8889,9.6400,9.6400,290100,2.7800
1984-04-06,9.6400,9.6400,9.5000,9.5289,65700,2.7500
1984-04-09,9.5289,9.6111,9.3889,9.4711,215400,2.7300
1984-04-10,9.5556,9.6111,9.5000,9.5000,57900,2.7400
1984-04-11,9.5556,9.5822,9.5289,9.5822,86700,2.7700
1984-04-12,9.5822,9.9711,9.4178,9.9711,372900,2.8800
1984-04-13,9.9711,10.0556,9.9711,9.9711,136200,2.8800
1984-04-16,9.8333,9.9567,9.7500,9.8733,75900,2.8500
1984-04-17,9.8733,10.0833,9.8733,10.0000,137100,2.8900
1984-04-18,10.0000,10.0833,9.9567,9.9567,55800,2.8700
1984-04-19,9.9567,10.0833,9.9567,10.0000,111900,2.8900
1984-04-23,10.0000,10.0000,9.7500,10.0000,73500,2.8900
1984-04-24,10.0000,10.2500,10.0000,10.1267,186000,2.9200
1984-04-25,10.2933,10.4167,10.1667,10.3333,184200,2.9800
1984-04-26,10.3333,10.5000,10.2067,10.4167,203400,3.0100
1984-04-27,10.4167,10.6267,10.3333,10.5000,206700,3.0300
1984-04-30,10.5000,10.5833,10.4167,10.5433,88800,3.0400
1984-05-01,10.5433,10.7067,10.5000,10.7067,225000,3.0900
1984-05-02,11.0200,11.0833,10.9567,10.9567,138000,3.1600
1984-05-03,10.9567,11.0833,10.8733,10.9567,111900,3.1600
1984-05-04,10.9567,10.9567,10.7067,10.7500,102300,3.1000
1984-05-07,10.7500,10.9167,10.7500,10.7500,47700,3.1000
1984-05-08,10.9167,11.0000,10.8333,10.8733,331200,3.1400
1984-05-09,10.8733,10.8733,10.3333,10.4167,290100,3.0100
1984-05-10,10.4167,10.5433,10.3333,10.4167,282900,3.0100
1984-05-11,10.1867,10.3333,9.8333,9.9167,273000,2.8600
1984-05-14,9.8133,9.8733,9.7500,9.7933,241200,2.8300
1984-05-15,9.7933,10.0433,9.7933,10.0000,248400,2.8900
1984-05-16,10.0000,10.0000,9.8733,9.9567,114000,2.8700
1984-05-17,9.9567,10.0000,9.7933,9.8333,188100,2.8400
1984-05-18,9.8333,10.0000,9.8333,9.9567,62700,2.8700
1984-05-21,9.9567,9.9567,9.7933,9.7933,622500,2.8300
1984-05-22,9.6267,9.7067,9.1667,9.4167,105600,2.7200
1984-05-23,9.4167,9.5433,9.1267,9.1267,221100,2.6300
1984-05-24,9.2933,9.7500,9.1667,9.2067,4020000,2.6600
1984-05-25,9.2067,9.3333,9.0433,9.1667,230100,2.6500
1984-05-29,9.1667,9.2067,8.6667,8.8333,217500,2.5500
1984-05-30,8.3333,8.7500,8.2500,8.3733,1063200,2.4200
1984-05-31,8.3733,8.4167,7.8333,8.0433,388800,2.3200
1984-06-01,8.0433,8.1267,7.8333,8.0000,741000,2.3100
1984-06-04,8.3333,8.6667,8.1667,8.4567,584700,2.4400
1984-06-05,8.4567,8.5433,8.2500,8.3733,5370300,2.4200
1984-06-06,8.3733,8.5433,8.3733,8.5433,365700,2.4700
1984-06-07,8.5433,8.5833,8.4567,8.5433,904800,2.4700
1984-06-08,8.5833,8.6667,8.5000,8.6667,708000,2.5000
1984-06-11,8.4567,8.4567,8.1667,8.2500,198900,2.4400
1984-06-12,8.1667,8.1667,7.9167,8.1667,691500,2.4100
1984-06-13,8.2067,8.2933,8.0833,8.1267,424500,2.4000
1984-06-14,8.0833,8.0833,7.8333,7.9567,614700,2.3500
1984-06-15,8.0000,8.1267,7.9167,8.0000,358500,2.3600
1984-06-18,8.0833,8.4167,8.0000,8.4167,235200,2.4900
1984-06-19,8.4167,8.5833,8.3733,8.5433,170700,2.5200
1984-06-20,8.4567,8.8333,8.3733,8.8333,340200,2.6100
1984-06-21,8.8333,9.0833,8.7500,9.0000,424800,2.6600
1984-06-22,8.9167,8.9167,8.7500,8.7933,179100,2.6000
1984-06-25,8.7067,8.8733,8.6667,8.7067,123900,2.5700
1984-06-26,8.6267,8.6267,8.5433,8.5833,346800,2.5300
1984-06-27,8.5000,8.5833,8.3733,8.4167,100500,2.4900
1984-06-28,8.4167,8.4167,8.1667,8.2933,195900,2.4500
1984-06-29,7.9567,8.1267,7.8333,8.0000,724500,2.3600
1984-07-02,8.0000,8.2067,7.9167,8.1267,532500,2.4000
1984-07-03,8.2067,8.5000,8.2067,8.4167,528000,2.4900
1984-07-05,8.4167,8.5433,8.4167,8.5433,87900,2.5200
1984-07-06,8.4567,8.5000,8.3733,8.4167,112200,2.4900
1984-07-09,8.3733,8.8333,8.3733,8.8333,159600,2.6100
1984-07-10,8.7933,8.9167,8.6667,8.7933,237600,2.6000
1984-07-11,8.7500,8.7933,8.6667,8.7067,354300,2.5700
1984-07-12,8.7067,8.7067,8.4567,8.5833,106200,2.5300
1984-07-13,8.5833,8.6667,8.5000,8.6667,125400,2.5600
1984-07-16,8.6267,8.6667,8.5433,8.6267,63000,2.5500
