Date,Open,High,Low,Close,Volume,Adj Close
1970-01-02,1.9297,1.9375,1.9256,1.9375,1174400,0.2500
1970-01-05,1.9375,1.9688,1.9334,1.9688,1881600,0.2500
1970-01-06,1.9688,1.9728,1.9453,1.9647,1232000,0.2500
1970-01-07,1.9647,1.9647,1.9494,1.9531,918400,0.2500
1970-01-08,1.9531,1.9688,1.9453,1.9569,1075200,0.2500
1970-01-09,1.9569,1.9647,1.9494,1.9647,1072000,0.2500
1970-01-12,1.9647,1.9688,1.9494,1.9494,892800,0.2500
1970-01-13,1.9494,1.9609,1.9416,1.9416,1248000,0.2500
1970-01-14,1.9416,1.9453,1.9334,1.9453,1328000,0.2500
1970-01-15,1.9453,1.9453,1.9219,1.9256,1206400,0.2500
1970-01-16,1.9256,1.9375,1.9256,1.9334,1100800,0.2500
1970-01-19,1.9334,1.9375,1.9219,1.9334,700800,0.2500
1970-01-20,1.9334,1.9453,1.9256,1.9256,1241600,0.2500
1970-01-21,1.9256,1.9375,1.9219,1.9219,841600,0.2500
1970-01-22,1.9219,1.9256,1.9062,1.9103,1382400,0.2500
1970-01-23,1.9103,1.9103,1.8791,1.8828,1878400,0.2400
1970-01-26,1.8828,1.8906,1.8750,1.8869,1043200,0.2400
1970-01-27,1.8791,1.8791,1.8594,1.8750,2054400,0.2400
1970-01-28,1.8750,1.8750,1.8125,1.8166,1488000,0.2400
1970-01-29,1.8006,1.8006,1.7772,1.7772,1548800,0.2300
1970-01-30,1.7734,1.7734,1.7500,1.7619,2172800,0.2300
1970-02-02,1.7619,1.7619,1.7500,1.7500,2755200,0.2300
1970-02-03,1.7500,1.7969,1.7422,1.7853,2572800,0.2300
1970-02-04,1.7853,1.7891,1.7734,1.7812,2003200,0.2300
1970-02-05,1.7812,1.7812,1.7734,1.7772,1676800,0.2300
1970-02-06,1.7541,1.7541,1.7306,1.7344,1635200,0.2200
1970-02-09,1.7344,1.7422,1.7228,1.7266,1398400,0.2200
1970-02-10,1.7188,1.7188,1.6484,1.6641,2777600,0.2200
1970-02-11,1.6641,1.6756,1.6406,1.6756,2316800,0.2200
1970-02-12,1.6719,1.6719,1.6094,1.6328,2611200,0.2100
1970-02-13,1.6328,1.6369,1.6094,1.6250,2380800,0.2100
1970-02-16,1.5859,1.5859,1.5666,1.5744,3497600,0.2000
1970-02-17,1.5744,1.5744,1.5584,1.5666,3078400,0.2000
1970-02-18,1.5859,1.6641,1.5859,1.6522,4438400,0.2100
1970-02-19,1.6756,1.7069,1.6756,1.6756,3376000,0.2200
1970-02-20,1.6756,1.7266,1.6562,1.7228,4480000,0.2200
1970-02-24,1.7228,1.7734,1.7109,1.7147,3750400,0.2200
1970-02-25,1.7147,1.7459,1.6562,1.7422,4771200,0.2300
1970-02-26,1.7266,1.7266,1.6834,1.6916,3705600,0.2200
1970-02-27,1.6916,1.7147,1.6875,1.6875,4137600,0.2200
1970-03-02,1.6875,1.7147,1.6719,1.6719,5107200,0.2200
1970-03-03,1.6719,1.6797,1.6522,1.6641,5152000,0.2200
1970-03-04,1.6641,1.6797,1.6641,1.6719,4838400,0.2200
1970-03-05,1.6719,1.6994,1.6719,1.6875,4912000,0.2200
1970-03-06,1.6797,1.6797,1.6603,1.6719,4780800,0.2200
1970-03-09,1.6681,1.6681,1.6522,1.6522,7699200,0.2100
1970-03-10,1.6522,1.6916,1.6406,1.6834,5878400,0.2200
1970-03-11,1.6994,1.7188,1.6994,1.7147,3638400,0.2200
1970-03-12,1.7147,1.7147,1.6875,1.7069,2841600,0.2200
1970-03-13,1.7069,1.7069,1.6916,1.7069,2582400,0.2200
1970-03-16,1.7069,1.7069,1.6797,1.7031,2028800,0.2200
1970-03-17,1.7031,1.7069,1.6875,1.7031,1520000,0.2200
1970-03-18,1.7031,1.7422,1.7031,1.7188,1958400,0.2200
1970-03-19,1.7188,1.7344,1.7147,1.7188,1904000,0.2200
1970-03-20,1.7188,1.7266,1.7109,1.7266,1257600,0.2200
1970-03-23,1.7266,1.7306,1.7109,1.7228,931200,0.2200
1970-03-24,1.7266,1.7541,1.7266,1.7500,950400,0.2300
1970-03-25,1.7541,1.7969,1.7541,1.7891,2720000,0.2300
1970-03-26,1.7891,1.8006,1.7812,1.7931,1932800,0.2300
1970-03-30,1.7931,1.8084,1.7853,1.8047,1523200,0.2300
1970-03-31,1.8006,1.8006,1.7853,1.7891,1728000,0.2300
1970-04-01,1.7931,1.8006,1.7931,1.7969,1168000,0.2300
1970-04-02,1.7969,1.8084,1.7891,1.7969,1664000,0.2300
1970-04-03,1.7969,1.8047,1.7812,1.8047,1219200,0.2300
1970-04-06,1.8006,1.8006,1.7812,1.7931,1100800,0.2300
1970-04-07,1.7931,1.7931,1.7500,1.7578,2217600,0.2300
1970-04-08,1.7578,1.7619,1.7381,1.7578,902400,0.2300
1970-04-09,1.7578,1.7772,1.7578,1.7656,896000,0.2300
1970-04-10,1.7656,1.7656,1.7500,1.7500,944000,0.2300
1970-04-13,1.7500,1.7578,1.7459,1.7459,1081600,0.2300
1970-04-14,1.7459,1.7500,1.7266,1.7459,1174400,0.2300
1970-04-15,1.7459,1.7578,1.7422,1.7500,748800,0.2300
1970-04-16,1.7500,1.7500,1.7266,1.7266,1577600,0.2200
1970-04-17,1.7228,1.7228,1.6875,1.6916,2560000,0.2200
1970-04-20,1.6875,1.6875,1.6681,1.6797,1132800,0.2200
1970-04-21,1.6875,1.6994,1.6875,1.6953,1113600,0.2200
1970-04-22,1.6953,1.7109,1.6875,1.7031,1212800,0.2200
1970-04-23,1.7031,1.7069,1.6953,1.7031,1030400,0.2200
1970-04-24,1.7031,1.7031,1.6834,1.6994,1257600,0.2200
1970-04-27,1.6994,1.7266,1.6797,1.6797,1833600,0.2200
1970-04-28,1.6797,1.6875,1.6641,1.6756,1472000,0.2200
1970-04-29,1.6756,1.6994,1.6681,1.6875,1987200,0.2200
1970-04-30,1.6875,1.6953,1.6681,1.6756,1916800,0.2200
1970-05-01,1.6756,1.6953,1.6681,1.6875,902400,0.2200
1970-05-04,1.6875,1.6875,1.6641,1.6797,787200,0.2200
1970-05-05,1.6797,1.6834,1.6641,1.6797,1456000,0.2200
1970-05-06,1.6797,1.6994,1.6681,1.6994,2384000,0.2200
1970-05-07,1.6916,1.6916,1.6681,1.6719,1168000,0.2200
1970-05-08,1.6719,1.6756,1.6562,1.6562,1484800,0.2200
