Date,Open,High,Low,Close,Volume,Adj Close
1972-06-01,1.4323,1.4452,1.4323,1.4452,1579200,0.3800
1972-06-02,1.4452,1.4504,1.4375,1.4375,2870400,0.3700
1972-06-05,1.4375,1.4427,1.4323,1.4375,1046400,0.3700
1972-06-06,1.4375,1.4504,1.4271,1.4427,2428800,0.3800
1972-06-07,1.4350,1.4350,1.4062,1.4115,1732800,0.3700
1972-06-08,1.4115,1.4115,1.3879,1.3879,3172800,0.3600
1972-06-09,1.3879,1.3906,1.3594,1.3673,1440000,0.3600
1972-06-12,1.3673,1.3827,1.3621,1.3827,1286400,0.3600
1972-06-13,1.3802,1.3802,1.3698,1.3775,1449600,0.3600
1972-06-14,1.3775,1.3933,1.3775,1.3775,2035200,0.3600
